Time,Clock ,Mod 6 Period 4 Counter 1 output,Input to Moore 1,NS of Moore 1,PS of Moore 1,output of Moore 1,Equality Comparator 1 output
0,0,0,0,0,0,0,0
0.1,0,0,0,1,0,0,0
0.2,0,0,0,1,0,0,0
0.5,1,0,0,1,0,0,0
0.6,1,0,0,1,1,0,0
0.7,1,1,0,2,1,1,0
0.7999999999999999,1,1,0,2,1,1,0
1.0,0,1,0,2,1,1,0
1.5,1,1,0,2,1,1,0
1.6,1,1,0,2,2,1,0
1.7000000000000002,1,2,0,3,2,2,0
1.8000000000000003,1,2,0,3,2,2,0
2.0,0,2,0,3,2,2,0
2.5,1,2,0,3,2,2,0
2.6,1,2,0,3,3,2,0
2.7,1,3,0,4,3,3,0
2.8000000000000003,1,3,0,4,3,3,0
3.0,0,3,0,4,3,3,0
3.5,1,3,0,4,3,3,0
3.6,1,3,0,4,4,3,0
3.7,1,4,1,5,4,4,1
3.8000000000000003,1,4,1,0,4,4,1
4.0,0,4,1,0,4,4,1
4.5,1,4,1,0,4,4,1
4.6,1,4,1,0,0,4,1
4.699999999999999,1,0,0,0,0,0,0
4.799999999999999,1,0,0,1,0,0,0
5.0,0,0,0,1,0,0,0
5.5,1,0,0,1,0,0,0
5.6,1,0,0,1,1,0,0
5.699999999999999,1,1,0,2,1,1,0
5.799999999999999,1,1,0,2,1,1,0
6.0,0,1,0,2,1,1,0
6.5,1,1,0,2,1,1,0
6.6,1,1,0,2,2,1,0
6.699999999999999,1,2,0,3,2,2,0
6.799999999999999,1,2,0,3,2,2,0
7.0,0,2,0,3,2,2,0
7.5,1,2,0,3,2,2,0
7.6,1,2,0,3,3,2,0
7.699999999999999,1,3,0,4,3,3,0
7.799999999999999,1,3,0,4,3,3,0
8.0,0,3,0,4,3,3,0
8.5,1,3,0,4,3,3,0
8.6,1,3,0,4,4,3,0
8.7,1,4,1,5,4,4,1
8.799999999999999,1,4,1,0,4,4,1
9.0,0,4,1,0,4,4,1
9.5,1,4,1,0,4,4,1
9.6,1,4,1,0,0,4,1
9.7,1,0,0,0,0,0,0
9.799999999999999,1,0,0,1,0,0,0
10.0,0,0,0,1,0,0,0
10.5,1,0,0,1,0,0,0
10.6,1,0,0,1,1,0,0
10.7,1,1,0,2,1,1,0
10.799999999999999,1,1,0,2,1,1,0
11.0,0,1,0,2,1,1,0
11.5,1,1,0,2,1,1,0
11.6,1,1,0,2,2,1,0
11.7,1,2,0,3,2,2,0
11.799999999999999,1,2,0,3,2,2,0
12.0,0,2,0,3,2,2,0
12.5,1,2,0,3,2,2,0
12.6,1,2,0,3,3,2,0
12.7,1,3,0,4,3,3,0
