Time,Input to input,Clock clk,Input to 2 Bit Counter 1,NS of 2 Bit Counter 1,PS of 2 Bit Counter 1,output of 2 Bit Counter 1,Input to 2 Bit Counter 2,NS of 2 Bit Counter 2,PS of 2 Bit Counter 2,output of 2 Bit Counter 2,Final Output from Output
0,0,0,0,0,0,0,0,0,0,0,0
0.1,1,0,1,0,0,0,0,0,0,0,0
0.2,1,0,1,0,0,0,0,0,0,0,0
0.5,1,1,1,1,0,0,0,0,0,0,0
0.6,1,1,1,1,1,0,0,0,0,0,0
0.7,1,1,1,2,1,2,0,0,0,0,1
0.7999999999999999,1,1,1,2,1,2,0,0,0,0,1
1.0,1,0,1,2,1,2,0,0,0,0,1
1.5,1,1,1,2,1,2,0,0,0,0,1
1.6,1,1,1,2,2,2,0,0,0,0,1
1.7000000000000002,1,1,1,3,2,4,0,0,0,0,2
1.8000000000000003,1,1,1,3,2,4,0,0,0,0,2
2.0,1,0,1,3,2,4,0,0,0,0,2
2.5,1,1,1,3,2,4,0,0,0,0,2
2.6,1,1,1,3,3,4,0,0,0,0,2
2.7,1,1,1,0,3,7,1,0,0,0,3
2.8000000000000003,1,1,1,0,3,7,1,1,0,0,3
3.0,1,0,1,0,3,7,1,1,0,0,3
3.5,1,1,1,0,3,7,1,1,0,0,3
3.6,1,1,1,0,0,7,1,1,1,0,3
3.7,1,1,1,1,0,0,0,2,1,2,4
3.8000000000000003,1,1,1,1,0,0,0,1,1,2,4
4.0,1,0,1,1,0,0,0,1,1,2,4
4.5,1,1,1,1,0,0,0,1,1,2,4
4.6,1,1,1,1,1,0,0,1,1,2,4
4.699999999999999,1,1,1,2,1,2,0,1,1,2,5
4.799999999999999,1,1,1,2,1,2,0,1,1,2,5
5.0,1,0,1,2,1,2,0,1,1,2,5
5.5,1,1,1,2,1,2,0,1,1,2,5
5.6,1,1,1,2,2,2,0,1,1,2,5
5.699999999999999,1,1,1,3,2,4,0,1,1,2,6
5.799999999999999,1,1,1,3,2,4,0,1,1,2,6
6.0,1,0,1,3,2,4,0,1,1,2,6
6.1,0,0,0,3,2,4,0,1,1,2,6
6.199999999999999,0,0,0,2,2,4,0,1,1,2,6
6.5,0,1,0,2,2,4,0,1,1,2,6
7.0,0,0,0,2,2,4,0,1,1,2,6
7.1,1,0,1,2,2,4,0,1,1,2,6
7.199999999999999,1,0,1,3,2,4,0,1,1,2,6
7.5,1,1,1,3,2,4,0,1,1,2,6
7.6,1,1,1,3,3,4,0,1,1,2,6
7.699999999999999,1,1,1,0,3,7,1,1,1,2,7
7.799999999999999,1,1,1,0,3,7,1,2,1,2,7
8.0,1,0,1,0,3,7,1,2,1,2,7
8.5,1,1,1,0,3,7,1,2,1,2,7
8.6,1,1,1,0,0,7,1,2,2,2,7
8.7,1,1,1,1,0,0,0,3,2,4,8
8.799999999999999,1,1,1,1,0,0,0,2,2,4,8
9.0,1,0,1,1,0,0,0,2,2,4,8
9.5,1,1,1,1,0,0,0,2,2,4,8
9.6,1,1,1,1,1,0,0,2,2,4,8
9.7,1,1,1,2,1,2,0,2,2,4,9
9.799999999999999,1,1,1,2,1,2,0,2,2,4,9
10.0,1,0,1,2,1,2,0,2,2,4,9
10.5,1,1,1,2,1,2,0,2,2,4,9
10.6,1,1,1,2,2,2,0,2,2,4,9
10.7,1,1,1,3,2,4,0,2,2,4,10
