Time,Clock Clock,Input to Moore 2,NS of Moore 2
0,0,0,0
0.3,0,0,0
0.5,1,1,0
0.8,1,1,1
1.0,0,0,1
1.3,0,0,0
1.5,1,1,0
1.8,1,1,1
2.0,0,0,1
2.3,0,0,0
2.5,1,1,0
2.8,1,1,1
3.0,0,0,1
3.3,0,0,0
3.5,1,1,0
3.8,1,1,1
4.0,0,0,1
4.3,0,0,0
4.5,1,1,0
4.8,1,1,1
5.0,0,0,1
5.3,0,0,0
5.5,1,1,0
5.8,1,1,1
6.0,0,0,1
6.3,0,0,0
6.5,1,1,0
6.8,1,1,1
7.0,0,0,1
7.3,0,0,0
7.5,1,1,0
7.8,1,1,1
8.0,0,0,1
8.3,0,0,0
8.5,1,1,0
8.8,1,1,1
9.0,0,0,1
9.3,0,0,0
9.5,1,1,0
9.8,1,1,1
10.0,0,0,1
10.3,0,0,0
10.5,1,1,0
10.8,1,1,1
11.0,0,0,1
11.3,0,0,0
11.5,1,1,0
11.8,1,1,1
12.0,0,0,1
12.3,0,0,0
12.5,1,1,0
12.8,1,1,1
13.0,0,0,1
13.3,0,0,0
13.5,1,1,0
13.8,1,1,1
14.0,0,0,1
14.3,0,0,0
14.5,1,1,0
14.8,1,1,1
15.0,0,0,1
15.3,0,0,0
15.5,1,1,0
15.8,1,1,1
16.0,0,0,1
16.3,0,0,0
16.5,1,1,0
16.8,1,1,1
17.0,0,0,1
17.3,0,0,0
17.5,1,1,0
17.8,1,1,1
18.0,0,0,1
18.3,0,0,0
18.5,1,1,0
18.8,1,1,1
19.0,0,0,1
19.3,0,0,0
19.5,1,1,0
19.8,1,1,1
20.0,0,0,1
20.3,0,0,0
20.5,1,1,0
20.8,1,1,1
21.0,0,0,1
21.3,0,0,0
21.5,1,1,0
21.8,1,1,1
22.0,0,0,1
22.3,0,0,0
22.5,1,1,0
22.8,1,1,1
23.0,0,0,1
23.3,0,0,0
23.5,1,1,0
23.8,1,1,1
24.0,0,0,1
24.3,0,0,0
24.5,1,1,0
24.8,1,1,1
25.0,0,0,1
25.3,0,0,0
25.5,1,1,0
25.8,1,1,1
26.0,0,0,1
26.3,0,0,0
26.5,1,1,0
26.8,1,1,1
27.0,0,0,1
27.3,0,0,0
27.5,1,1,0
27.8,1,1,1
28.0,0,0,1
28.3,0,0,0
28.5,1,1,0
28.8,1,1,1
29.0,0,0,1
29.3,0,0,0
29.5,1,1,0
29.8,1,1,1
30.8,1,1,1
