Time,Input to PWM Input,Clock clk,Input to Mod 4 Counter,NS of Mod 4 Counter,output of Mod 4 Counter,PS of Mod 4 Counter,Sync Reset Comparator output,Output Comparator output,Final Output from PWM Output
0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,1,0,0
0.05,9,0,1,0,0,0,0,1,0
0.060000000000000005,9,0,0,0,0,0,0,1,1
0.1,9,0,0,1,0,0,0,1,1
0.11,9,0,0,0,0,0,0,1,1
0.15000000000000002,9,0,0,1,0,0,0,1,1
0.2,9,0,0,1,0,0,0,1,1
0.5,9,1,0,1,0,0,0,1,1
0.6,9,1,0,1,0,1,0,1,1
0.7,9,1,0,2,1,1,0,0,1
0.71,9,1,0,2,1,1,0,0,0
0.7999999999999999,9,1,0,2,1,1,0,0,0
1.0,9,0,0,2,1,1,0,0,0
1.5,9,1,0,2,1,1,0,0,0
1.6,9,1,0,2,1,2,0,0,0
1.7000000000000002,9,1,1,3,2,2,1,0,0
1.7100000000000002,9,1,1,3,2,2,1,0,0
1.8000000000000003,9,1,1,0,2,2,1,0,0
2.0,9,0,1,0,2,2,1,0,0
2.5,9,1,1,0,2,2,1,0,0
2.6,9,1,1,0,2,0,1,0,0
2.7,9,1,0,0,0,0,0,1,0
2.71,9,1,0,0,0,0,0,1,1
2.8000000000000003,9,1,0,1,0,0,0,1,1
3.0,9,0,0,1,0,0,0,1,1
3.5,9,1,0,1,0,0,0,1,1
3.6,9,1,0,1,0,1,0,1,1
3.7,9,1,0,2,1,1,0,0,1
3.71,9,1,0,2,1,1,0,0,0
3.8000000000000003,9,1,0,2,1,1,0,0,0
4.0,9,0,0,2,1,1,0,0,0
4.5,9,1,0,2,1,1,0,0,0
4.6,9,1,0,2,1,2,0,0,0
4.699999999999999,9,1,1,3,2,2,1,0,0
4.709999999999999,9,1,1,3,2,2,1,0,0
4.799999999999999,9,1,1,0,2,2,1,0,0
5.0,9,0,1,0,2,2,1,0,0
5.5,9,1,1,0,2,2,1,0,0
5.6,9,1,1,0,2,0,1,0,0
5.699999999999999,9,1,0,0,0,0,0,1,0
5.709999999999999,9,1,0,0,0,0,0,1,1
5.799999999999999,9,1,0,1,0,0,0,1,1
6.0,9,0,0,1,0,0,0,1,1
6.5,9,1,0,1,0,0,0,1,1
6.6,9,1,0,1,0,1,0,1,1
6.699999999999999,9,1,0,2,1,1,0,0,1
6.709999999999999,9,1,0,2,1,1,0,0,0
6.799999999999999,9,1,0,2,1,1,0,0,0
7.0,9,0,0,2,1,1,0,0,0
7.5,9,1,0,2,1,1,0,0,0
7.6,9,1,0,2,1,2,0,0,0
7.699999999999999,9,1,1,3,2,2,1,0,0
7.709999999999999,9,1,1,3,2,2,1,0,0
7.799999999999999,9,1,1,0,2,2,1,0,0
8.0,9,0,1,0,2,2,1,0,0
8.5,9,1,1,0,2,2,1,0,0
8.6,9,1,1,0,2,0,1,0,0
8.7,9,1,0,0,0,0,0,1,0
8.709999999999999,9,1,0,0,0,0,0,1,1
8.799999999999999,9,1,0,1,0,0,0,1,1
9.0,9,0,0,1,0,0,0,1,1
9.5,9,1,0,1,0,0,0,1,1
9.6,9,1,0,1,0,1,0,1,1
9.7,9,1,0,2,1,1,0,0,1
9.709999999999999,9,1,0,2,1,1,0,0,0
9.799999999999999,9,1,0,2,1,1,0,0,0
10.0,9,0,0,2,1,1,0,0,0
10.5,9,1,0,2,1,1,0,0,0
10.6,9,1,0,2,1,2,0,0,0
10.7,9,1,1,3,2,2,1,0,0
10.709999999999999,9,1,1,3,2,2,1,0,0
10.799999999999999,9,1,1,0,2,2,1,0,0
11.0,9,0,1,0,2,2,1,0,0
11.5,9,1,1,0,2,2,1,0,0
11.6,9,1,1,0,2,0,1,0,0
11.7,9,1,0,0,0,0,0,1,0
11.709999999999999,9,1,0,0,0,0,0,1,1
11.799999999999999,9,1,0,1,0,0,0,1,1
12.0,9,0,0,1,0,0,0,1,1
12.5,9,1,0,1,0,0,0,1,1
12.6,9,1,0,1,0,1,0,1,1
12.7,9,1,0,2,1,1,0,0,1
12.709999999999999,9,1,0,2,1,1,0,0,0
12.799999999999999,9,1,0,2,1,1,0,0,0
13.0,9,0,0,2,1,1,0,0,0
13.5,9,1,0,2,1,1,0,0,0
13.6,9,1,0,2,1,2,0,0,0
13.7,9,1,1,3,2,2,1,0,0
13.709999999999999,9,1,1,3,2,2,1,0,0
13.799999999999999,9,1,1,0,2,2,1,0,0
14.0,9,0,1,0,2,2,1,0,0
14.5,9,1,1,0,2,2,1,0,0
14.6,9,1,1,0,2,0,1,0,0
14.7,9,1,0,0,0,0,0,1,0
14.709999999999999,9,1,0,0,0,0,0,1,1
14.799999999999999,9,1,0,1,0,0,0,1,1
15.0,9,0,0,1,0,0,0,1,1
15.5,9,1,0,1,0,0,0,1,1
15.6,9,1,0,1,0,1,0,1,1
15.7,9,1,0,2,1,1,0,0,1
15.709999999999999,9,1,0,2,1,1,0,0,0
15.799999999999999,9,1,0,2,1,1,0,0,0
16.0,9,0,0,2,1,1,0,0,0
16.5,9,1,0,2,1,1,0,0,0
16.6,9,1,0,2,1,2,0,0,0
16.700000000000003,9,1,1,3,2,2,1,0,0
16.710000000000004,9,1,1,3,2,2,1,0,0
16.800000000000004,9,1,1,0,2,2,1,0,0
17.0,9,0,1,0,2,2,1,0,0
17.5,9,1,1,0,2,2,1,0,0
17.6,9,1,1,0,2,0,1,0,0
17.700000000000003,9,1,0,0,0,0,0,1,0
17.710000000000004,9,1,0,0,0,0,0,1,1
