Time,Clock ,Input to Input,Enabled 1 Bit Counter 1 output,Enabled 1 Bit Counter TC 1 output,Input to Moore 1,NS of Moore 1,output of Moore 1,PS of Moore 1,Enabled 2 Bit Counter And1 output,Enabled 1 Bit Counter 2 output,Enabled 1 Bit Counter TC 2 output,Input to Moore 2,NS of Moore 2,output of Moore 2,PS of Moore 2,Enabled 2 Bit Counter 1 output,Enabled 2 Bit Counter TC1 output,Enabled 4 Bit Counter And1 output,Enabled 1 Bit Counter 3 output,Enabled 1 Bit Counter TC 3 output,Input to Moore 3,NS of Moore 3,output of Moore 3,PS of Moore 3,Enabled 2 Bit Counter And2 output,Enabled 1 Bit Counter 4 output,Enabled 1 Bit Counter TC 4 output,Input to Moore 4,NS of Moore 4,output of Moore 4,PS of Moore 4,Enabled 2 Bit Counter 2 output,Enabled 2 Bit Counter TC2 output,Enabled 4 Bit Counter 1 output,Enabled 4 Bit Counter TC1 output
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.51,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.52,1,1,1,1,1,0,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.53,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.54,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.55,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,0,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.5,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.51,1,1,1,1,1,0,3,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.52,1,1,0,0,1,1,0,0,0,1,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1.53,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1.54,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1.55,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2.0,0,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2.5,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2.51,1,1,0,0,1,1,0,1,0,1,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2.5199999999999996,1,1,1,1,1,0,3,1,1,1,1,1,1,3,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2.5299999999999994,1,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0
2.539999999999999,1,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0
2.549999999999999,1,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0
3.0,0,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0
3.5,1,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0
3.51,1,1,1,1,1,0,3,0,1,1,1,1,0,3,0,3,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0
3.5199999999999996,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,1,0,4,0
3.5299999999999994,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,4,0
